zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
77020,29.76842,-95.30878,Houston,TX,Texas,TRUE,,25583,1264.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77021,29.69713,-95.35751,Houston,TX,Texas,TRUE,,24884,1581.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77022,29.8306,-95.3768,Houston,TX,Texas,TRUE,,26135,1727.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77023,29.7216,-95.31827,Houston,TX,Texas,TRUE,,24962,1762.9,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77024,29.77073,-95.50869,Houston,TX,Texas,TRUE,,37647,1120.6,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77025,29.68584,-95.43512,Houston,TX,Texas,TRUE,,29177,2524.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77026,29.80013,-95.32934,Houston,TX,Texas,TRUE,,20536,1208.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77027,29.73919,-95.44609,Houston,TX,Texas,TRUE,,19269,2792.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77028,29.82471,-95.28668,Houston,TX,Texas,TRUE,,18379,779,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77029,29.76382,-95.26326,Houston,TX,Texas,TRUE,,15931,579.4,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77030,29.70597,-95.40253,Houston,TX,Texas,TRUE,,12976,1941.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77031,29.65434,-95.54622,Houston,TX,Texas,TRUE,,15740,1925.2,48201,Harris,"{""48201"": 99.14, ""48157"": 0.86}",Harris|Fort Bend,48201|48157,FALSE,FALSE,America/Chicago
77032,29.96523,-95.34004,Houston,TX,Texas,TRUE,,13536,226.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77033,29.66801,-95.33801,Houston,TX,Texas,TRUE,,28079,1899,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77034,29.61522,-95.19237,Houston,TX,Texas,TRUE,,37185,1011.7,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77035,29.65269,-95.47688,Houston,TX,Texas,TRUE,,34849,2385.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77036,29.70119,-95.53659,Houston,TX,Texas,TRUE,,71036,3770.2,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77037,29.8918,-95.39438,Houston,TX,Texas,TRUE,,17806,1116.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77038,29.91906,-95.44121,Houston,TX,Texas,TRUE,,31271,1244.7,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77039,29.90923,-95.34137,Houston,TX,Texas,TRUE,,28335,1083.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77040,29.87539,-95.52861,Houston,TX,Texas,TRUE,,50446,1406.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77041,29.86203,-95.58187,Houston,TX,Texas,TRUE,,33180,678.7,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77042,29.74125,-95.56015,Houston,TX,Texas,TRUE,,40725,2549.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77043,29.8112,-95.57981,Houston,TX,Texas,TRUE,,26343,718.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77044,29.89808,-95.17685,Houston,TX,Texas,TRUE,,55746,550.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77045,29.63634,-95.43279,Houston,TX,Texas,TRUE,,32482,1124.7,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77046,29.73438,-95.43301,Houston,TX,Texas,TRUE,,1873,6751.7,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77047,29.60843,-95.38662,Houston,TX,Texas,TRUE,,35248,986.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77048,29.62154,-95.32986,Houston,TX,Texas,TRUE,,20430,684.4,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77049,29.83417,-95.14827,Houston,TX,Texas,TRUE,,40373,644.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77050,29.90286,-95.27013,Houston,TX,Texas,TRUE,,5854,329.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77051,29.65586,-95.38023,Houston,TX,Texas,TRUE,,18506,967.9,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77053,29.58549,-95.45991,Houston,TX,Texas,TRUE,,30256,1026.6,48157,Fort Bend,"{""48157"": 68.9, ""48201"": 31.1}",Fort Bend|Harris,48157|48201,FALSE,FALSE,America/Chicago
77054,29.68102,-95.40424,Houston,TX,Texas,TRUE,,26696,1927.6,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77055,29.79757,-95.4928,Houston,TX,Texas,TRUE,,44088,2029.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77056,29.74849,-95.46806,Houston,TX,Texas,TRUE,,23314,2604,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77057,29.74522,-95.48885,Houston,TX,Texas,TRUE,,45394,4091.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77058,29.56297,-95.09303,Houston,TX,Texas,TRUE,,18572,857.4,48201,Harris,"{""48201"": 99.42, ""48167"": 0.58}",Harris|Galveston,48201|48167,FALSE,FALSE,America/Chicago
77059,29.60929,-95.12417,Houston,TX,Texas,TRUE,,18386,768.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77060,29.93567,-95.39697,Houston,TX,Texas,TRUE,,44920,2128.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77061,29.65436,-95.28481,Houston,TX,Texas,TRUE,,24238,1254.1,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77062,29.57584,-95.13406,Houston,TX,Texas,TRUE,,24892,1653.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77063,29.7356,-95.52157,Houston,TX,Texas,TRUE,,39994,3453.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77064,29.92279,-95.5467,Houston,TX,Texas,TRUE,,48924,1284.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77065,29.92673,-95.60324,Houston,TX,Texas,TRUE,,38393,1804,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77066,29.95714,-95.50277,Houston,TX,Texas,TRUE,,38315,1713,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77067,29.95283,-95.44719,Houston,TX,Texas,TRUE,,31800,2161.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77068,30.00628,-95.48694,Houston,TX,Texas,TRUE,,12289,1250.6,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77069,29.98631,-95.52398,Houston,TX,Texas,TRUE,,20935,1720.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77070,29.97783,-95.57377,Houston,TX,Texas,TRUE,,57645,1706.2,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77071,29.65265,-95.52046,Houston,TX,Texas,TRUE,,26794,2301.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77072,29.70006,-95.58539,Houston,TX,Texas,TRUE,,58681,3054.2,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77073,29.99849,-95.39804,Houston,TX,Texas,TRUE,,43684,1158.4,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77074,29.68821,-95.51633,Houston,TX,Texas,TRUE,,37467,2630,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77075,29.62119,-95.26749,Houston,TX,Texas,TRUE,,41012,1412.2,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77076,29.86002,-95.38328,Houston,TX,Texas,TRUE,,32641,2654.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77077,29.75375,-95.64189,Houston,TX,Texas,TRUE,,63421,1480.4,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77078,29.8529,-95.25089,Houston,TX,Texas,TRUE,,14705,551.9,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77079,29.77632,-95.6037,Houston,TX,Texas,TRUE,,35540,1773.9,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77080,29.81662,-95.52375,Houston,TX,Texas,TRUE,,49064,2958.2,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77081,29.71219,-95.48026,Houston,TX,Texas,TRUE,,51366,6100.8,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77082,29.72383,-95.6414,Houston,TX,Texas,TRUE,,57269,1756.9,48201,Harris,"{""48201"": 99.79, ""48157"": 0.21}",Harris|Fort Bend,48201|48157,FALSE,FALSE,America/Chicago
77083,29.69316,-95.64858,Houston,TX,Texas,TRUE,,74843,2787.9,48201,Harris,"{""48201"": 59.81, ""48157"": 40.19}",Harris|Fort Bend,48201|48157,FALSE,FALSE,America/Chicago
77084,29.82698,-95.6612,Houston,TX,Texas,TRUE,,109115,1327.5,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
77085,29.62465,-95.48411,Houston,TX,Texas,TRUE,,16947,1193.7,48201,Harris,"{""48201"": 96.91, ""48157"": 3.09}",Harris|Fort Bend,48201|48157,FALSE,FALSE,America/Chicago
77086,29.9186,-95.49064,Houston,TX,Texas,TRUE,,28623,1617.3,48201,Harris,"{""48201"": 100}",Harris,48201,FALSE,FALSE,America/Chicago
